"customer_id","product_count"
0,6
1,6
9,6
13,6
17,6
20,6
22,6
24,6
25,6
35,6
48,6
49,6
55,6
67,6
73,6
75,6
78,6
87,6
89,6
92,6
113,6
115,6
123,6
125,6
143,6
146,6
153,6
158,6
164,6
175,6
176,6
178,6
182,6
193,6
194,6
195,6
199,6
202,6
203,6
213,6
217,6
221,6
231,6
232,6
234,6
236,6
238,6
241,6
246,6
247,6
252,6
254,6
255,6
257,6
263,6
269,6
271,6
273,6
274,6
286,6
291,6
295,6
304,6
309,6
310,6
313,6
322,6
326,6
332,6
339,6
340,6
347,6
359,6
361,6
367,6
368,6
375,6
378,6
380,6
387,6
405,6
425,6
433,6
437,6
448,6
450,6
451,6
453,6
454,6
455,6
456,6
460,6
466,6
477,6
486,6
492,6
498,6
500,6
503,6
520,6
521,6
523,6
524,6
528,6
531,6
535,6
538,6
544,6
550,6
564,6
569,6
574,6
577,6
590,6
591,6
606,6
607,6
610,6
615,6
618,6
624,6
626,6
635,6
640,6
641,6
642,6
663,6
675,6
679,6
692,6
697,6
701,6
702,6
709,6
713,6
716,6
736,6
737,6
738,6
749,6
760,6
762,6
771,6
773,6
793,6
796,6
798,6
800,6
803,6
807,6
810,6
819,6
821,6
830,6
832,6
833,6
837,6
839,6
843,6
849,6
850,6
851,6
868,6
873,6
879,6
880,6
891,6
895,6
898,6
902,6
905,6
907,6
916,6
922,6
933,6
938,6
940,6
942,6
944,6
945,6
946,6
948,6
954,6
955,6
961,6
965,6
966,6
967,6
968,6
975,6
977,6
979,6
983,6
988,6
999,6
1000,6
1008,6
1010,6
1012,6
1016,6
1020,6
1029,6
1030,6
1031,6
1041,6
1044,6
1045,6
1048,6
1050,6
1052,6
1055,6
1064,6
1065,6
1071,6
1072,6
1077,6
1079,6
1081,6
1087,6
1092,6
1100,6
1103,6
1109,6
1118,6
1127,6
1131,6
1135,6
1137,6
1139,6
1142,6
1143,6
1146,6
1150,6
1158,6
1160,6
1162,6
1165,6
1168,6
1170,6
1172,6
1173,6
1175,6
1176,6
1177,6
1183,6
1184,6
1204,6
1212,6
1215,6
1225,6
1232,6
1241,6
1245,6
1250,6
1272,6
1277,6
1291,6
1295,6
1307,6
1321,6
1324,6
1328,6
1331,6
1340,6
1343,6
1349,6
1351,6
1357,6
1361,6
1362,6
1371,6
1377,6
1378,6
1379,6
1381,6
1384,6
1386,6
1388,6
1399,6
1402,6
1403,6
1404,6
1406,6
1407,6
1409,6
1411,6
1419,6
1440,6
1446,6
1448,6
1453,6
1456,6
1458,6
1459,6
1461,6
1463,6
1473,6
1490,6
1491,6
1497,6
1501,6
1502,6
1503,6
1506,6
1509,6
1513,6
1515,6
1517,6
1518,6
1519,6
1523,6
1524,6
1542,6
1544,6
1545,6
1553,6
1570,6
1577,6
1581,6
1584,6
1592,6
1600,6
1604,6
1606,6
1612,6
1618,6
1619,6
1626,6
1627,6
1628,6
1630,6
1631,6
1640,6
1646,6
1650,6
1655,6
1663,6
1665,6
1672,6
1676,6
1685,6
1710,6
1715,6
1717,6
1726,6
1729,6
1734,6
1740,6
1743,6
1744,6
1745,6
1755,6
1763,6
1764,6
1772,6
1773,6
1777,6
1802,6
1818,6
1826,6
1829,6
1833,6
1834,6
1839,6
1857,6
1859,6
1867,6
1876,6
1878,6
1880,6
1890,6
1891,6
1907,6
1911,6
1915,6
1916,6
1920,6
1921,6
1927,6
1928,6
1940,6
1945,6
1951,6
1958,6
1964,6
1966,6
1968,6
1970,6
1987,6
1990,6
1991,6
1992,6
1993,6
1994,6
1998,6
2002,6
2004,6
2005,6
2008,6
2021,6
2036,6
2055,6
2061,6
2066,6
2072,6
2075,6
2079,6
2088,6
2098,6
2106,6
2109,6
2114,6
2115,6
2118,6
2125,6
2130,6
2131,6
2134,6
2139,6
2147,6
2150,6
2154,6
2156,6
2157,6
2162,6
2166,6
2173,6
2174,6
2176,6
2181,6
2186,6
2202,6
2217,6
2223,6
2225,6
2227,6
2230,6
2245,6
2246,6
2253,6
2254,6
2256,6
2258,6
2261,6
2262,6
2276,6
2278,6
2281,6
2285,6
2286,6
2292,6
2295,6
2296,6
2304,6
2308,6
2315,6
2320,6
2324,6
2326,6
2337,6
2345,6
2350,6
2371,6
2375,6
2379,6
2387,6
2392,6
2404,6
2406,6
2407,6
2408,6
2410,6
2415,6
2416,6
2426,6
2428,6
2429,6
2431,6
2437,6
2445,6
2447,6
2452,6
2453,6
2456,6
2457,6
2461,6
2471,6
2478,6
2488,6
2493,6
2495,6
2499,6
2516,6
2518,6
2521,6
2525,6
2532,6
2534,6
2535,6
2541,6
2544,6
2546,6
2549,6
2552,6
2557,6
2561,6
2563,6
2564,6
2565,6
2569,6
2570,6
2574,6
2579,6
2587,6
2589,6
2591,6
2607,6
2611,6
2612,6
2613,6
2620,6
2625,6
2631,6
2632,6
2634,6
2639,6
2656,6
2661,6
2666,6
2669,6
2674,6
2677,6
2678,6
2681,6
2683,6
2686,6
2694,6
2698,6
2711,6
2712,6
2715,6
2724,6
2727,6
2730,6
2736,6
2740,6
2747,6
2781,6
2782,6
2793,6
2795,6
2797,6
2798,6
2802,6
2804,6
2807,6
2811,6
2814,6
2815,6
2826,6
2829,6
2831,6
2836,6
2849,6
2853,6
2861,6
2863,6
2868,6
2870,6
2874,6
2875,6
2877,6
2878,6
2882,6
2886,6
2891,6
2894,6
2895,6
2902,6
2909,6
2918,6
2920,6
2926,6
